time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1969-07-12T19:16:32.450Z,39.849,143.737,19.5,6.19,mw,,,,,iscgem,iscgem806984,2022-04-26T22:04:05.031Z,"155 km E of Miyako, Japan",earthquake,,3.8,0.29,,reviewed,iscgem,iscgem
1969-06-20T15:37:50.730Z,40.788,142.279,56.9,5.58,mw,,,,,iscgem,iscgem808191,2022-04-26T22:05:13.783Z,"near the east coast of Honshu, Japan",earthquake,,5.1,0.5,,reviewed,iscgem,iscgem
1969-06-20T06:41:07.240Z,38.507,142.003,81.3,5.5,mw,,,,,iscgem,iscgem808177,2022-04-26T22:05:12.615Z,"62 km E of Ishinomaki, Japan",earthquake,,5.3,0.24,,reviewed,iscgem,iscgem
1969-06-19T07:03:06.140Z,28.198,129.969,40,5.64,mw,,,,,iscgem,iscgem808154,2022-04-26T22:05:10.331Z,"51 km ESE of Naze, Japan",earthquake,,5,0.36,,reviewed,iscgem,iscgem
1969-06-12T07:41:24.970Z,40.405,143.794,15,5.84,mw,,,,,iscgem,iscgem807949,2022-04-26T22:04:59.486Z,"179 km ENE of Miyako, Japan",earthquake,,9.7,0.33,,reviewed,iscgem,iscgem
1969-05-13T14:19:43.210Z,36.4,140.736,50,5.62,mw,,,,,iscgem,iscgem808891,2022-04-26T22:06:03.490Z,"16 km NE of ?arai, Japan",earthquake,,27.5,0.31,,reviewed,iscgem,iscgem
1969-04-22T08:11:23.380Z,39.893,143.35,34.5,6.01,mw,,,,,iscgem,iscgem810080,2022-04-26T22:09:43.763Z,"123 km ENE of Miyako, Japan",earthquake,,3.9,0.38,,reviewed,iscgem,iscgem
1969-04-21T07:19:28.920Z,32.15,131.938,38.6,7.02,mw,,,,,iscgem,iscgem810045,2022-04-26T22:09:30.818Z,"41 km E of Takanabe, Japan",earthquake,,5,0.41,,reviewed,iscgem,iscgem
1969-04-17T04:56:14.290Z,39.599,143.616,10,5.9,mw,,,,,iscgem,iscgem809924,2022-04-26T22:09:18.434Z,"143 km E of Miyako, Japan",earthquake,,12.9,0.2,,reviewed,iscgem,iscgem
1969-04-15T17:30:55.230Z,39.854,143.647,10,6.08,mw,,,,,iscgem,iscgem809881,2022-04-26T22:08:54.118Z,"148 km E of Miyako, Japan",earthquake,,14.5,0.27,,reviewed,iscgem,iscgem
1969-04-10T14:54:05.750Z,42.082,131.132,565,5.85,mw,,,,,iscgem,iscgem809729,2022-04-26T22:08:33.547Z,"61 km S of Zarubino, Russia",earthquake,,6.6,0.1,,reviewed,iscgem,iscgem
1969-04-09T12:57:25.360Z,36.825,139.853,110.4,5.69,mw,,,,,iscgem,iscgem809699,2022-04-26T22:08:28.173Z,"7 km WNW of Yaita, Japan",earthquake,,5.1,0.35,,reviewed,iscgem,iscgem
1969-03-31T19:25:28.730Z,38.502,134.555,398.1,6.65,mw,,,,,iscgem,iscgem811728,2022-04-26T22:11:24.675Z,"266 km NW of Hakui, Japan",earthquake,,5.3,0.1,,reviewed,iscgem,iscgem
1969-03-21T03:05:11.120Z,40.38,143.882,17.1,5.84,mw,,,,,iscgem,iscgem811168,2022-04-26T22:10:41.597Z,"184 km ENE of Miyako, Japan",earthquake,,3.7,0.2,,reviewed,iscgem,iscgem
1969-03-16T15:54:18.390Z,38.542,142.886,38.8,6,mw,,,,,iscgem,iscgem810987,2022-04-26T22:10:31.143Z,"117 km ESE of ?funato, Japan",earthquake,,4.8,0.23,,reviewed,iscgem,iscgem
1969-03-08T10:20:10.900Z,41.32,139.81,170,5.67,mw,,,,,iscgem,iscgem810683,2022-04-26T22:10:16.448Z,"73 km NW of Shimokizukuri, Japan",earthquake,,5.1,0.44,,reviewed,iscgem,iscgem
1969-01-10T03:20:55.300Z,28.92,130.667,25,5.9,mw,,,,,iscgem,iscgem813057,2022-04-26T22:13:34.468Z,"130 km ENE of Naze, Japan",earthquake,,3.9,0.47,,reviewed,iscgem,iscgem
1969-01-07T07:01:50.920Z,26.281,129.663,14.7,5.5,mw,,,,,iscgem,iscgem812986,2022-04-26T22:13:31.511Z,"171 km ESE of Nago, Japan",earthquake,,3.9,0.38,,reviewed,iscgem,iscgem
